shinchou,taiju,father,mother,tsugaku,arbeit,tv,jugyou,ketsueki,yakyu,shimai,tabako,jitaku,menkyo,car,koibito,seibetsu
175,62,173,158,50,30,0,3,a,13,0,0,0,1,0,0,1
175,61,170,155,0,20,45,1,ab,7,1,1,0,0,0,0,1
177,70,173,165,50,0,180,4,a,1,0,0,1,1,1,0,1
170,57,165,162,40,5,1,3,a,4,0,1,0,0,0,1,1
178,66,168,163,80,7,0,4,b,4,1,0,1,1,1,1,1
157,42,170,155,10,12,2,3,a,13,1,0,0,0,0,1,1
156,58,150,150,45,0,0,3,a,4,1,0,0,1,0,0,1
174,60,171,162,30,4,1,3,b,8,1,0,0,1,0,1,1
168,62,170,155,9,0,20,3,a,6,0,0,0,0,0,0,1
179,63,172,153,35,0,120,3,a,6,0,0,1,0,0,0,1
172,59,171,152,70,4,60,2,b,11,1,1,0,0,0,0,1
178,60,170,160,20,2,120,2,a,1,0,1,0,1,0,0,1
168,58,165,150,110,5,20,3,a,13,0,0,1,1,1,0,1
165,58,167,155,95,12,61,1,b,1,1,0,1,1,1,0,1
175,69,167,154,50,0,1,5,o,1,1,0,1,1,1,0,1
157,42,165,158,30,5,0,3,b,13,0,0,0,1,0,1,0
166,68,175,155,150,10,0,1,o,4,1,1,1,1,1,1,0
160,55,170,159,75,6,60,3,b,4,1,0,1,0,1,0,0
176,65,167,158,80,4,180,2,o,1,0,1,1,1,1,1,0
164,51,165,157,95,10,20,4,a,13,1,0,1,0,0,0,0
168,56,175,161,60,10,30,4,o,13,0,0,1,0,0,0,0
159,45,165,156,20,6,30,2,o,4,1,0,1,1,1,0,0
154,44,165,155,40,4,30,5,a,13,0,0,1,0,1,1,0
168,45,165,163,60,4,60,3,o,6,1,0,1,0,0,0,0
150,52,171,143,110,2,30,3,a,13,1,0,1,0,0,0,0
157,43,175,155,35,2,30,3,b,8,0,0,1,1,0,0,0
163,58,173,160,35,10,60,4,a,1,1,0,0,0,0,1,0
156,43,173,151,100,0,0,4,a,6,1,0,1,1,0,1,0
160,55,176,157,90,0,15,3,a,1,0,0,1,1,1,0,0
153,49,160,151,3,2,60,3,o,13,1,0,1,1,1,0,0
171,54,174,162,50,2,60,3,b,2,1,0,1,0,0,0,0
158,45,172,156,70,18,30,3,a,13,1,0,1,1,1,0,0
156,44,165,152,60,2,60,4,b,5,1,0,1,1,1,0,0
166,63,160,155,90,4,60,4,b,1,1,0,1,0,0,0,0
156,46,172,158,70,7,60,4,a,13,1,0,1,0,0,0,0
166,45,174,158,30,5,60,3,a,7,0,0,1,1,1,1,0
163,46,170,171,45,20,60,5,a,12,0,0,1,0,0,1,0
166,55,173,158,90,10,60,4,b,1,1,0,1,0,1,1,0
154,50,178,154,40,4,2,3,a,1,1,0,1,1,0,1,0
157,53,172,163,25,4,0,4,a,13,1,0,0,1,0,1,0
161,51,168,160,55,4,30,4,ab,8,0,0,1,1,1,1,0
167,57,180,158,10,6,120,3,a,13,1,0,0,1,0,0,0
159,48,165,153,120,6,90,4,a,13,1,0,0,0,0,0,0
159,49,172,158,60,2,30,4,a,13,1,0,1,1,1,0,0
160,44,168,155,40,0,30,5,b,2,0,0,0,0,0,1,0
156,46,168,155,75,11,60,4,o,8,0,0,1,1,1,0,0
164,52,180,155,75,2,30,3,a,13,1,0,1,0,1,0,0
